filename,speaker
id10000_enroll.npy,0
id10001_enroll.npy,1
id10002_enroll.npy,2
id10003_enroll.npy,3
id10004_enroll.npy,4
id10005_enroll.npy,5
id10006_enroll.npy,6
id10007_enroll.npy,7
id10008_enroll.npy,8
id10009_enroll.npy,9
id10010_enroll.npy,10
id10011_enroll.npy,11
id10012_enroll.npy,12
id10013_enroll.npy,13
id10014_enroll.npy,14
id10015_enroll.npy,15
id10016_enroll.npy,16
id10017_enroll.npy,17
id10018_enroll.npy,18
id10019_enroll.npy,19
id10020_enroll.npy,20
id10021_enroll.npy,21
id10022_enroll.npy,22
id10023_enroll.npy,23
id10024_enroll.npy,24
id10025_enroll.npy,25
id10026_enroll.npy,26
id10027_enroll.npy,27
id10028_enroll.npy,28
id10029_enroll.npy,29
id10030_enroll.npy,30
id10031_enroll.npy,31
id10032_enroll.npy,32
id10033_enroll.npy,33
id10034_enroll.npy,34
id10035_enroll.npy,35
id10036_enroll.npy,36
id10037_enroll.npy,37
id10038_enroll.npy,38
id10039_enroll.npy,39
id10040_enroll.npy,40
id10041_enroll.npy,41
id10042_enroll.npy,42
id10043_enroll.npy,43
id10044_enroll.npy,44
id10045_enroll.npy,45
id10046_enroll.npy,46
id10047_enroll.npy,47
id10048_enroll.npy,48
id10049_enroll.npy,49
id10050_enroll.npy,50
id10051_enroll.npy,51
id10052_enroll.npy,52
id10053_enroll.npy,53
id10054_enroll.npy,54
id10055_enroll.npy,55
id10056_enroll.npy,56
id10057_enroll.npy,57
id10058_enroll.npy,58
id10059_enroll.npy,59
id10060_enroll.npy,60
id10061_enroll.npy,61
id10062_enroll.npy,62
id10063_enroll.npy,63
